v,h,c3DP,cTM,weight,3DP profit,demand mean,disrupt. prob.,yield loss
23.57,3.56,3.56,1.28011958396963,0.59305,33.7408312958435,335539.346435644,0.089249600719512,0.30979294919371
24.54,4.14,4.14,0.976239496476223,0.69121,29.5134619001461,267628.1191,0.089249600719512,0.30979294919371
25.05,4.64,4.64,1.74662050755439,0.7731,26.4002069589963,201380.92019802,0.089249600719512,0.30979294919371
25.77,5.36,5.36,1.79292121848946,0.89367,22.8384079134356,169850.992673267,0.089249600719512,0.30979294919371
22.53,2.65,2.65,1.02245445086406,0.44209,44.9682191408989,232971.012424242,0.089249600719512,0.30979294919371
22.11,2.29,2.29,0.0465283475151158,0.38258,51.8061581891369,224744.7068,0.089249600719512,0.30979294919371
30.54,9.27,9.27,0.896200845304213,1.54541,13.7633378844449,49510.9752,0.089249600719512,0.30979294919371
23.53,3.46,3.46,2.43947334808636,0.57644,34.8171535632503,103306.2213,0.089249600719512,0.30979294919371
30.28,9,9,6.12638277475782,1.49936,14.1927222281507,36609.7712,0.089249600719512,0.30979294919371
24.14,4,4,1.95676935078584,0.66672,30.2075833933285,31040.72,0.089249600719512,0.30979294919371
23.32,3.34,3.34,1.83485980212925,0.55747,35.8404936588516,629639.8392,0.0481713962624808,0.242615816036528
25.4,4.95,4.95,2.41969572634901,0.82611,24.7545726356054,188176.574747475,0.0481713962624808,0.242615816036528
30.54,9.27,9.27,1.79549593070631,1.54541,13.7633378844449,49510.9752,0.0481713962624808,0.242615816036528
23.53,3.46,3.46,3.42584942027764,0.57644,34.8171535632503,103306.2213,0.0481713962624808,0.242615816036528
23.69,2.68,2.68,2.30518696085963,0.44719,46.9822670453275,96687.2752,0.0481713962624808,0.242615816036528
23.41,3.39,3.39,2.51796116433187,0.5651,35.4273579897363,62131.887,0.0481713962624808,0.242615816036528
22.57,2.86,2.86,2.25300211444963,0.47744,41.2826742627346,68452.7715151515,0.0481713962624808,0.242615816036528
22.28,2.4,2.4,2.31177618296478,0.40069,49.614415133894,64855.3495,0.0481713962624808,0.242615816036528
24.14,4,4,1.19487643877712,0.66672,30.2075833933285,31040.72,0.0481713962624808,0.242615816036528
30.92,9.61,9.61,9.38256490391862,1.60165,13.3050291886492,760.1538,0.0481713962624808,0.242615816036528
30.39,9.19,9.19,2.76465135720854,1.53169,13.8409208129582,417137.1579,0.303857152095198,0.801932097659297
22.3,2.44,2.44,2.36584042964075,0.40712,48.7816859893889,836884.5489,0.303857152095198,0.801932097659297
24.84,4.54,4.54,3.26270931714291,0.75643,26.8365876551697,391906.063663366,0.303857152095198,0.801932097659297
23.57,3.56,3.56,2.64832546436752,0.59305,33.7408312958435,335539.346435644,0.303857152095198,0.801932097659297
26.24,5.74,5.74,3.11273159118342,0.95737,21.4128288958292,126108.3284,0.303857152095198,0.801932097659297
23.72,3.66,3.66,0.517331464516644,0.61044,32.8615424939388,168663.1814,0.303857152095198,0.801932097659297
