SINGLE,Naive,Full,NumSuppliers
60,60,13.3333333333333,15
73.3333333333333,73.3333333333333,0,15
66.6666666666667,66.6666666666667,20,15
66.6666666666667,66.6666666666667,6.66666666666667,15
53.3333333333333,53.3333333333333,0,15
40,40,0,15
80,80,6.66666666666667,15
66.6666666666667,66.6666666666667,6.66666666666667,15
66.6666666666667,66.6666666666667,33.3333333333333,15
46.6666666666667,46.6666666666667,0,15
73.3333333333333,73.3333333333333,6.66666666666667,15
86.6666666666667,86.6666666666667,13.3333333333333,15
60,60,0,15
46.6666666666667,46.6666666666667,6.66666666666667,15
53.3333333333333,53.3333333333333,0,15
66.6666666666667,66.6666666666667,0,15
60,60,6.66666666666667,15
53.3333333333333,53.3333333333333,26.6666666666667,15
66.6666666666667,66.6666666666667,6.66666666666667,15
66.6666666666667,66.6666666666667,13.3333333333333,15
60,60,6.66666666666667,15
73.3333333333333,73.3333333333333,20,15
53.3333333333333,53.3333333333333,13.3333333333333,15
66.6666666666667,66.6666666666667,0,15
33.3333333333333,33.3333333333333,0,15
80,80,33.3333333333333,15
66.6666666666667,66.6666666666667,20,15
66.6666666666667,66.6666666666667,6.66666666666667,15
53.3333333333333,53.3333333333333,0,15
53.3333333333333,53.3333333333333,0,15
73.3333333333333,73.3333333333333,6.66666666666667,15
60,60,6.66666666666667,15
66.6666666666667,66.6666666666667,6.66666666666667,15
80,80,13.3333333333333,15
66.6666666666667,66.6666666666667,20,15
66.6666666666667,66.6666666666667,0,15
73.3333333333333,73.3333333333333,13.3333333333333,15
80,80,13.3333333333333,15
53.3333333333333,53.3333333333333,13.3333333333333,15
60,60,20,15
80,80,13.3333333333333,15
60,60,20,15
80,80,6.66666666666667,15
66.6666666666667,66.6666666666667,20,15
73.3333333333333,73.3333333333333,20,15
60,60,13.3333333333333,15
73.3333333333333,73.3333333333333,6.66666666666667,15
73.3333333333333,73.3333333333333,0,15
60,60,26.6666666666667,15
60,60,6.66666666666667,15
