3,0.0040382,1.3702
4,0.0022944,2.0451
5,0.01056,3.5247
6,0.012473,6.1549
7,0.015988,16.495
8,0.01892,27.196
9,0.024583,55.735
10,0.029265,100
11,0.035593,100
12,0.040858,100
13,0.047445,100
14,0.055852,100
15,0.063458,100
16,0.07251,100
17,0.083087,100
18,0.09267,100
19,0.10577,100
20,0.2592,100
21,0.29058,100
22,0.31935,100
23,0.35115,100
24,0.39095,100
25,0.42043,100
26,0.45934,100
27,0.50456,100
28,0.53098,100
29,0.57554,100
30,1.0987,100
31,1.1813,100
32,1.2825,100
33,1.379,100
34,1.4841,100
35,1.5817,100
36,1.6511,100
37,1.7362,100
38,1.8696,100
39,2.0053,100
40,3.3748,100
41,3.4334,100
42,3.5781,100
43,3.837,100
44,4.0826,100
45,4.3886,100
46,4.6174,100
47,4.8448,100
48,4.9993,100
49,5.2418,100
50,5.4114,100
51,5.6877,100
52,6.1136,100
53,6.5358,100
54,6.7422,100
55,7.0245,100
