Company,Weight Scenario 1 (grams),Weight Scenario 2 (grams),Weight Scenario 3 (grams),Weight Scenario 4 (grams),Weight Scenario 5 (grams),Quantity Scenario 1,Quantity Scenario 2,Quantity Scenario 3,Quantity Scenario 4,Quantity Scenario 5,Scenario 1 Probability,Scenario 2 Probability,Scenario 3 Probability,Scenario 4 Probability,Scenario 5 Probability
43,17429600.0,67866031.0,230487600.0,94451657.0,42375911.0,12352.48,48097.14,163348.22,66938.57,30032.11,0.4,0.19,0.03,0.1,0.27
44,30039950.0,84845236.0,16199143.0,117273333.0,53677133.0,66325.07,187329.41,35766.01,258927.26,118513.5,0.29,0.2,0.25,0.05,0.21
45,10022933.0,108227733.0,196358000.0,77849333.0,45297091.0,22413.14,242017.34,439093.0,174085.59,101292.72,0.52,0.13,0.04,0.06,0.24
46,34499200.0,119598000.0,59765400.0,11847120.0,81373200.0,29233.39,101343.07,50643.06,10038.83,68952.74,0.24,0.1,0.1,0.48,0.1
47,51911564.0,8408300.0,108100160.0,25062629.0,77935200.0,64600.37,10463.55,134523.21,31188.72,96984.99,0.27,0.39,0.12,0.17,0.05
48,7184509.0,63483200.0,112095200.0,38310171.0,20286933.0,12713.7,112339.76,198363.48,67793.61,35899.72,0.38,0.21,0.07,0.24,0.1
49,75936200.0,29844133.0,146652000.0,11457560.0,50046640.0,159048.68,62508.66,307163.2,23997.9,104822.89,0.1,0.15,0.02,0.49,0.24
50,8809493.0,108227600.0,59517067.0,175091200.0,25383754.0,11354.93,139499.12,76714.06,225682.43,32718.19,0.4,0.05,0.16,0.03,0.35
51,22190286.0,76222400.0,9983600.0,46129760.0,109670400.0,38939.89,133756.36,17519.39,80949.29,192451.48,0.35,0.05,0.3,0.25,0.05
52,50449600.0,21817920.0,33271840.0,8650640.0,62659733.0,125906.81,54450.87,83036.36,21589.36,156379.58,0.1,0.32,0.16,0.32,0.1
53,81404000.0,17113320.0,5879920.0,57713600.0,34361354.0,154875.29,32558.97,11186.85,109803.09,65374.24,0.03,0.33,0.33,0.08,0.22
54,13424733.0,81105867.0,36612400.0,5054914.0,25464229.0,20135.49,121649.07,54914.21,7581.76,38193.29,0.29,0.07,0.14,0.33,0.17
55,1911333.0,1040400.0,3021920.0,254840.0,5248000.0,1193.35,649.58,1886.75,159.11,3276.62,0.24,0.24,0.1,0.4,0.02
